2026-02-12T14:54:59.289489,145,75,220,3202,0.000178
2026-02-12T15:47:51.708356,145,73,218,3333,0.000175
2026-02-12T15:54:34.892578,145,74,219,2689,0.000176
2026-02-12T16:00:12.430944,145,80,225,3001,0.000186
2026-02-12T16:00:38.205122,145,75,220,1862,0.000178
2026-02-12T18:03:34.748063,223,68,291,2772,0.000198
2026-02-12T18:05:41.279625,196,68,264,3068,0.000187
2026-02-12T18:48:39.866138,195,40,235,1573,0.000142
2026-02-12T18:52:37.824636,192,45,237,1937,0.000149
2026-02-13T15:27:24.224404,196,65,261,2340,0.000182
2026-02-13T15:41:09.371157,288,93,381,3092,0.000264
2026-02-13T15:43:01.603221,275,80,355,2281,0.000238
